model,model_short,task,n,F,p,partial_eta2,status,degenerate_rank_means,p_fdr,sig_fdr
roberta-base,RoBERTa-base,qnli,1000,5.262715370271983,0.0030327235342697545,0.5681611881503223,ok,False,0.00808726275805268,**
roberta-base,RoBERTa-base,qnli,2000,5.096183912686725,0.0035719376184703,0.560255153326322,ok,False,0.008696891592797252,**
roberta-base,RoBERTa-base,qnli,5000,1.3161393330475917,0.29717454175589986,0.2475742734705725,ok,False,0.37822214405296345,ns
roberta-base,RoBERTa-base,rte,50,0.9626739056667778,0.46374271030255887,0.19398290598290566,ok,False,0.541033162019652,ns
roberta-base,RoBERTa-base,rte,100,0.30521619037500974,0.9039823396858877,0.070894509561998,ok,False,0.9200831277588539,ns
roberta-base,RoBERTa-base,rte,200,3.17323381357405,0.028643956414293403,0.44237144585602073,ok,False,0.050126923725013456,ns
roberta-base,RoBERTa-base,rte,500,2.1201496432921476,0.10499030513670515,0.34642120975193635,ok,False,0.1633182524348747,ns
roberta-base,RoBERTa-base,rte,1000,4.730595401847115,0.00516081892407394,0.5418410983569656,ok,False,0.012041910822839194,*
roberta-base,RoBERTa-base,rte,2000,2.4280209701403423,0.07105038166100719,0.37772449427577576,ok,False,0.11702415802989419,ns
roberta-base,RoBERTa-base,rte,5000,3.448064111773086,0.020787998015167064,0.4629476948678198,ok,False,0.04157599603033413,*
roberta-base,RoBERTa-base,sst2,50,13.800423903400477,6.612200915245836e-06,0.7752862503889097,ok,False,4.628540640672085e-05,***
roberta-base,RoBERTa-base,sst2,100,21.173225253659318,2.3037729890429404e-07,0.8411010126952828,ok,False,2.580225747728093e-06,***
roberta-base,RoBERTa-base,sst2,200,1.6765943671090977,0.18624294070073955,0.29535215283718286,ok,False,0.26742576100619014,ns
roberta-base,RoBERTa-base,sst2,500,0.6887638107150156,0.6376294016841433,0.14689667437310777,ok,False,0.6866778171983081,ns
roberta-base,RoBERTa-base,sst2,1000,1.8131472895090361,0.1559798942354349,0.31190458442042507,ok,False,0.2298651072943251,ns
roberta-base,RoBERTa-base,sst2,2000,1.2402135231317049,0.3275659698443981,0.23667232597623564,ok,False,0.40763765136191765,ns
roberta-base,RoBERTa-base,sst2,5000,0.803554724041142,0.5603824595979727,0.16728334956182744,ok,False,0.6276283547497294,ns
